condition,cohort_pct,cohort_n,ci95,population_pct,p_value,bh_q
Rheumatoid arthritis,2.2,10/460,1.2-4.0,1.0,0.02878778952217594,0.0671715088850772
Systemic lupus erythematosus,0.2,1/460,0.0-1.2,0.1,0.36886162988256477,0.4303385681963256
Multiple sclerosis,0.2,1/460,0.0-1.2,0.3,1.0,1.0
Psoriasis,5.0,23/460,3.4-7.4,3.0,0.018889265608418724,0.06611242962946554
Crohn's disease,1.3,6/460,0.6-2.8,0.6,0.06110725370610566,0.10693769398568491
Ulcerative colitis,2.2,10/460,1.2-4.0,0.7,0.0017604259581955777,0.012322981707369044
Thyroid disease,13.9,64/460,11.0-17.4,12.0,0.22201153863982634,0.31081615409575686
